Muhammed MacIntyre,"Eldon Base for stackable storage shelf, platinum",3,-213.25,38.94,35,Nunavut,Storage & Organization,0.8
Barry French,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",293,457.81,208.16,68.02,Nunavut,Appliances,0.58
Barry French,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",293,46.71,8.69,2.99,Nunavut,Binders and Binder Accessories,0.39
Clay Rozendal,R380,483,1198.97,195.99,3.99,Nunavut,Telephones and Communication,0.58
Carlos Soltero,Holmes HEPA Air Purifier,515,30.94,21.78,5.94,Nunavut,Appliances,0.5
Carlos Soltero,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,515,4.43,6.64,4.95,Nunavut,Office Furnishings,0.37
Carl Jackson,"Angle-D Binders with Locking Rings, Label Holders",613,-54.04,7.3,7.72,Nunavut,Binders and Binder Accessories,0.38
Carl Jackson,"SAFCO Mobile Desk Side File, Wire Frame",613,127.7,42.76,6.22,Nunavut,Storage & Organization,
Monica Federle,"SAFCO Commercial Wire Shelving, Black",643,-695.26,138.14,35,Nunavut,Storage & Organization,
Dorothy Badders,Xerox 198,678,-226.36,4.98,8.33,Nunavut,Paper,0.38
Neola Schneider,Xerox 1980,807,-166.85,4.28,6.18,Nunavut,Paper,0.4
Neola Schneider,Advantus Map Pennant Flags and Round Head Tacks,807,-14.33,3.95,2,Nunavut,Rubber Bands,0.53
Carlos Daly,Holmes HEPA Air Purifier,868,134.72,21.78,5.94,Nunavut,Appliances,0.5
Carlos Daly,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",868,114.46,47.98,3.61,Nunavut,Computer Peripherals,0.71
Claudia Miner,"Wilson Jones 1"" Hanging DublLock® Ring Binders",933,-4.72,5.28,2.99,Nunavut,Binders and Binder Accessories,0.37
Neola Schneider,Ultra Commercial Grade Dual Valve Door Closer,995,782.91,39.89,3.04,Nunavut,Office Furnishings,0.53
Allen Rosenblatt,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",998,93.8,15.74,1.39,Nunavut,Envelopes,0.4
Sylvia Foulston,Hon 4-Shelf Metal Bookcases,1154,440.72,100.98,26.22,Nunavut,Bookcases,0.6
Sylvia Foulston,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1154,-481.04,71.37,69,Nunavut,Tables,0.68
Jim Radford,g520,1344,-11.68,65.99,5.26,Nunavut,Telephones and Communication,0.59
Jim Radford,LX 788,1344,313.58,155.99,8.99,Nunavut,Telephones and Communication,0.58
Carlos Soltero,Avery 52,1412,26.92,3.69,0.5,Nunavut,Labels,0.38
Carlos Soltero,Plymouth Boxed Rubber Bands by Plymouth,1412,-5.77,4.71,0.7,Nunavut,Rubber Bands,0.8
Carl Ludwig,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",1539,-172.88,15.99,13.18,Nunavut,Binders and Binder Accessories,0.37
Carl Ludwig,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",1539,-144.55,4.89,4.93,Nunavut,Computer Peripherals,0.66
Don Miller,Newell 335,1540,5.76,2.88,0.7,Nunavut,Pens & Art Supplies,0.56
Annie Cyprus,SANFORD Liquid Accent™ Tank-Style Highlighters,1702,4.9,2.84,0.93,Nunavut,Pens & Art Supplies,0.54
Carl Ludwig,Canon PC940 Copier,1761,-547.61,449.99,49,Nunavut,Copiers and Fax,0.38
Carlos Soltero,"Tenex Personal Project File with Scoop Front Design, Black",1792,-5.45,13.48,4.51,Nunavut,Storage & Organization,0.59
Grant Carroll,Col-Erase® Pencils with Erasers,2275,41.67,6.08,1.17,Nunavut,Pens & Art Supplies,0.56
Don Miller,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",2277,-46.03,5.98,4.38,Nunavut,Computer Peripherals,0.75
Don Miller,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",2277,33.67,40.99,19.99,Nunavut,Paper,0.36
Alan Barnes,Self-Adhesive Address Labels for Typewriters by Universal,2532,140.01,7.31,0.49,Nunavut,Labels,0.38
Alan Barnes,Accessory37,2532,-78.96,20.99,2.5,Nunavut,Telephones and Communication,0.81
Jack Garza,Fuji 5.2GB DVD-RAM,2631,252.66,40.96,1.99,Nunavut,Computer Peripherals,0.55
Julia West,Bevis Steel Folding Chairs,2757,-1766.01,95.95,74.35,Nunavut,Chairs & Chairmats,0.57
Eugene Barchas,Avery Binder Labels,2791,-236.27,3.89,7.01,Nunavut,Binders and Binder Accessories,0.37
Eugene Barchas,Hon Every-Day® Chair Series Swivel Task Chairs,2791,80.44,120.98,30,Nunavut,Chairs & Chairmats,0.64
Eugene Barchas,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",2791,118.94,30.98,5.76,Nunavut,Paper,0.4
Edward Hooks,Global Troy™ Executive Leather Low-Back Tilter,2976,3424.22,500.98,26,Nunavut,Chairs & Chairmats,0.6
Brad Eason,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,3232,-11.83,7.84,4.71,Nunavut,Binders and Binder Accessories,0.35
Nicole Hansen,Computer Printout Paper with Letter-Trim Perforations,3524,52.35,18.97,9.03,Nunavut,Paper,0.37
Dorothy Wardle,6160,3908,-180.2,115.99,2.5,Nunavut,Telephones and Communication,0.57
